work_year,experience_level,employment_type,salary_in_usd,remote_ratio,company_size,employee_continent,company_continent,is_colocated
2022,3,FT,200000,FullRemote,M,NA,NA,1
2022,3,FT,180000,FullRemote,M,NA,NA,1
2022,2,FT,108000,FullRemote,M,NA,NA,1
2022,2,FT,85000,FullRemote,M,NA,NA,1
2022,3,FT,210000,FullRemote,M,NA,NA,1
2022,3,FT,180000,FullRemote,M,NA,NA,1
2022,3,FT,165000,FullRemote,M,NA,NA,1
2022,3,FT,132000,FullRemote,M,NA,NA,1
2022,3,FT,130000,FullRemote,M,NA,NA,1
2022,3,FT,110000,FullRemote,M,NA,NA,1
2022,2,FT,45388,HalfRemote,L,OC,OC,1
2021,1,FT,42028,HalfRemote,L,OC,OC,1
2022,2,FT,135000,FullRemote,L,NA,NA,1
2022,3,FT,178800,FullRemote,L,NA,NA,1
2022,3,FT,132100,FullRemote,L,NA,NA,1
2022,1,FT,20000,HalfRemote,M,NA,NA,0
2022,3,FT,140000,NoRemote,M,NA,NA,1
2022,3,FT,110000,NoRemote,M,NA,NA,1
2022,3,FT,160000,FullRemote,M,NA,NA,1
2022,3,FT,85000,FullRemote,M,NA,NA,1
2022,3,FT,250000,FullRemote,M,NA,NA,1
2022,3,FT,63000,FullRemote,M,NA,NA,1
2022,4,FT,187200,FullRemote,M,NA,NA,1
2022,4,FT,116100,FullRemote,M,NA,NA,1
2022,2,FT,10000,NoRemote,M,AS,AS,1
2022,3,FT,200000,FullRemote,M,NA,NA,1
2022,3,FT,145000,FullRemote,M,NA,NA,1
2022,3,FT,229998,NoRemote,L,NA,NA,1
2022,3,FT,154545,NoRemote,L,NA,NA,1
2022,3,FT,215000,NoRemote,L,NA,NA,1
2022,3,FT,159000,NoRemote,L,NA,NA,1
2022,3,FT,229998,NoRemote,L,NA,NA,1
2022,3,FT,154545,NoRemote,L,NA,NA,1
2022,1,FT,50000,FullRemote,M,NA,NA,1
2022,3,FT,183000,FullRemote,L,NA,NA,1
2022,3,FT,99750,FullRemote,M,NA,NA,1
2022,3,FT,68400,FullRemote,M,NA,NA,1
2022,3,FT,236900,FullRemote,L,NA,NA,1
2022,3,FT,159200,FullRemote,L,NA,NA,1
2022,3,FT,243225,FullRemote,M,NA,NA,1
2022,3,FT,179775,FullRemote,M,NA,NA,1
2022,3,FT,175000,FullRemote,M,NA,NA,1
2022,3,FT,150000,FullRemote,M,NA,NA,1
2022,3,FT,210000,FullRemote,M,NA,NA,1
2022,3,FT,180000,FullRemote,M,NA,NA,1
2022,3,FT,148000,FullRemote,M,NA,NA,1
2022,3,FT,128000,FullRemote,M,NA,NA,1
2022,3,FT,190000,FullRemote,M,NA,NA,1
2022,3,FT,135000,FullRemote,M,NA,NA,1
2022,3,FT,130000,FullRemote,M,NA,NA,1
2022,3,FT,110000,FullRemote,M,NA,NA,1
2022,3,FT,191475,FullRemote,M,NA,NA,1
2022,3,FT,141525,FullRemote,M,NA,NA,1
2022,3,FT,160000,FullRemote,M,NA,NA,1
2022,3,FT,85000,FullRemote,M,NA,NA,1
2022,3,FT,218000,NoRemote,M,NA,NA,1
2022,3,FT,145300,NoRemote,M,NA,NA,1
2022,3,FT,195400,FullRemote,L,NA,NA,1
2022,3,FT,131300,FullRemote,L,NA,NA,1
2022,1,FT,105000,FullRemote,L,SA,NA,0
2022,3,FT,191475,FullRemote,M,NA,NA,1
2022,3,FT,141525,FullRemote,M,NA,NA,1
2022,3,FT,207000,FullRemote,M,NA,NA,1
2022,3,FT,153000,FullRemote,M,NA,NA,1
2022,3,FT,191475,FullRemote,M,NA,NA,1
2022,3,FT,141525,FullRemote,M,NA,NA,1
2022,3,FT,110000,NoRemote,M,NA,NA,1
2022,3,FT,99000,NoRemote,M,NA,NA,1
2022,3,FT,191475,FullRemote,M,NA,NA,1
2022,3,FT,141525,FullRemote,M,NA,NA,1
2022,3,FT,191475,FullRemote,M,NA,NA,1
2022,3,FT,141525,FullRemote,M,NA,NA,1
2022,3,FT,191475,FullRemote,M,NA,NA,1
2022,3,FT,141525,FullRemote,M,NA,NA,1
2022,3,FT,200000,FullRemote,M,NA,NA,1
2022,3,FT,135000,FullRemote,M,NA,NA,1
2022,3,FT,207000,FullRemote,M,NA,NA,1
2022,3,FT,153000,FullRemote,M,NA,NA,1
2022,3,FT,191475,FullRemote,M,NA,NA,1
2022,3,FT,141525,FullRemote,M,NA,NA,1
2022,3,FT,191475,FullRemote,M,NA,NA,1
2022,3,FT,141525,FullRemote,M,NA,NA,1
2022,3,FT,191475,FullRemote,M,NA,NA,1
2022,3,FT,141525,FullRemote,M,NA,NA,1
2022,3,FT,195700,NoRemote,M,NA,NA,1
2022,3,FT,130500,NoRemote,M,NA,NA,1
2022,3,FT,130000,FullRemote,M,NA,NA,1
2022,3,FT,84000,FullRemote,M,NA,NA,1
2022,2,FT,100000,FullRemote,M,NA,NA,1
2022,2,FT,60000,FullRemote,M,NA,NA,1
2022,2,FT,80505,FullRemote,M,EU,EU,1
2022,2,FT,68120,FullRemote,M,EU,EU,1
2022,3,FT,141300,NoRemote,M,NA,NA,1
2022,3,FT,102100,NoRemote,M,NA,NA,1
2022,3,FT,50537,NoRemote,M,EU,EU,1
2022,3,FT,36850,NoRemote,M,EU,EU,1
2022,2,FT,150000,FullRemote,L,NA,NA,1
2022,2,FT,102799,FullRemote,M,EU,EU,1
2022,1,FT,23090,HalfRemote,M,AS,AS,1
2022,3,FT,144000,FullRemote,M,NA,NA,1
2022,3,FT,113000,FullRemote,M,NA,NA,1
2022,1,FT,31586,FullRemote,M,EU,EU,0
2022,3,FT,195400,FullRemote,L,NA,NA,1
2022,3,FT,131300,FullRemote,L,NA,NA,1
2022,3,FT,195400,FullRemote,L,NA,NA,1
2022,3,FT,131300,FullRemote,L,NA,NA,1
2022,3,FT,195400,FullRemote,L,NA,NA,1
2022,3,FT,131300,FullRemote,L,NA,NA,1
2022,3,FT,190000,FullRemote,M,NA,NA,1
2022,3,FT,135000,FullRemote,M,NA,NA,1
2022,3,FT,135000,FullRemote,M,NA,NA,1
2022,3,FT,80000,FullRemote,M,NA,NA,1
2022,1,FT,8120,FullRemote,M,AS,AS,1
2022,3,FT,160000,FullRemote,M,NA,NA,1
2022,3,FT,85000,FullRemote,M,NA,NA,1
2022,3,FT,178800,FullRemote,L,NA,NA,1
2022,3,FT,132100,FullRemote,L,NA,NA,1
2022,2,CT,60000,FullRemote,S,AS,NA,0
2022,3,FT,63172,HalfRemote,S,EU,EU,1
2022,1,FT,50000,FullRemote,L,AS,OC,0
2022,3,FT,140000,FullRemote,M,NA,NA,1
2022,3,FT,105000,FullRemote,M,NA,NA,1
2022,2,FT,80505,FullRemote,M,EU,EU,1
2022,2,FT,68120,FullRemote,M,EU,EU,1
2022,3,FT,190000,FullRemote,M,NA,NA,1
2022,3,FT,140000,FullRemote,M,NA,NA,1
2022,2,FT,100000,FullRemote,M,NA,NA,1
2022,2,FT,60000,FullRemote,M,NA,NA,1
2022,3,FT,180000,FullRemote,L,NA,NA,1
2022,3,FT,165000,FullRemote,L,NA,NA,1
2022,3,FT,108000,NoRemote,L,NA,NA,1
2021,1,FT,20000,HalfRemote,M,EU,EU,1
2022,3,FT,190000,FullRemote,M,NA,NA,1
2022,3,FT,135000,FullRemote,M,NA,NA,1
2022,3,FT,179400,NoRemote,M,NA,NA,1
2022,3,FT,154000,NoRemote,M,NA,NA,1
2022,3,FT,193900,NoRemote,M,NA,NA,1
2022,3,FT,129300,NoRemote,M,NA,NA,1
2022,4,FT,222640,NoRemote,M,NA,NA,1
2022,4,FT,182160,NoRemote,M,NA,NA,1
2022,2,FT,150000,NoRemote,M,NA,NA,1
2022,2,FT,100000,NoRemote,M,NA,NA,1
2022,3,FT,122500,FullRemote,M,NA,NA,1
2022,3,FT,100000,FullRemote,M,NA,NA,1
2022,4,FT,297500,FullRemote,M,NA,NA,1
2022,4,FT,260000,FullRemote,M,NA,NA,1
2021,1,FT,15000,FullRemote,L,AS,AS,1
2022,3,FT,193000,FullRemote,M,EU,NA,0
2022,1,FT,93000,NoRemote,M,NA,NA,1
2022,1,FT,73000,NoRemote,M,NA,NA,1
2022,2,FT,100000,FullRemote,M,NA,NA,1
2022,2,FT,60000,FullRemote,M,NA,NA,1
2022,1,FT,7828,FullRemote,L,SA,SA,1
2022,3,FT,136994,FullRemote,M,NA,NA,1
2022,3,FT,101570,FullRemote,M,NA,NA,1
2022,3,FT,250000,FullRemote,M,NA,NA,1
2022,3,FT,63000,FullRemote,M,NA,NA,1
2022,2,FT,134000,NoRemote,M,NA,NA,1
2022,2,FT,98000,NoRemote,M,NA,NA,1
2022,3,FT,191475,FullRemote,M,NA,NA,1
2022,3,FT,141525,FullRemote,M,NA,NA,1
2022,3,FT,57908,HalfRemote,L,EU,EU,1
2022,2,FT,136000,FullRemote,M,NA,NA,1
2022,2,FT,112000,FullRemote,M,NA,NA,1
2022,3,FT,172000,FullRemote,M,NA,NA,1
2022,3,FT,140000,FullRemote,M,NA,NA,1
2022,3,FT,215000,NoRemote,M,NA,NA,1
2022,3,FT,164000,NoRemote,M,NA,NA,1
2022,3,FT,300000,NoRemote,M,NA,NA,1
2022,3,FT,130000,NoRemote,M,NA,NA,1
2022,3,FT,250000,FullRemote,M,NA,NA,1
2022,3,FT,63000,FullRemote,M,NA,NA,1
2022,3,FT,180000,FullRemote,M,NA,NA,1
2022,3,FT,150000,FullRemote,M,NA,NA,1
2021,1,FT,45390,HalfRemote,L,EU,EU,1
2022,3,FT,250000,FullRemote,M,NA,NA,1
2022,3,FT,63000,FullRemote,M,NA,NA,1
2022,3,FT,191475,FullRemote,M,NA,NA,1
2022,3,FT,141525,FullRemote,M,NA,NA,1
2022,2,FT,97500,FullRemote,L,NA,NA,1
2022,3,FT,212800,FullRemote,M,NA,NA,1
2022,3,FT,142800,FullRemote,M,NA,NA,1
2022,2,FT,73701,HalfRemote,L,EU,EU,1
2022,1,FT,50000,HalfRemote,M,NA,EU,0
2022,1,FT,6413,FullRemote,L,EU,AS,0
2022,3,FT,151800,NoRemote,M,NA,NA,1
2022,3,FT,130240,NoRemote,M,NA,NA,1
2022,3,FT,165000,FullRemote,M,NA,NA,1
2022,3,FT,140250,FullRemote,M,NA,NA,1
2022,3,FT,135000,NoRemote,M,NA,NA,1
2022,3,FT,115000,NoRemote,M,NA,NA,1
2022,3,FT,179400,FullRemote,M,NA,NA,1
2022,3,FT,154000,FullRemote,M,NA,NA,1
2022,3,FT,191475,FullRemote,M,NA,NA,1
2022,3,FT,141525,FullRemote,M,NA,NA,1
2022,3,FT,191475,FullRemote,M,NA,NA,1
2022,3,FT,141525,FullRemote,M,NA,NA,1
2022,3,FT,191475,FullRemote,M,NA,NA,1
2022,3,FT,141525,FullRemote,M,NA,NA,1
2022,2,FT,75000,NoRemote,M,NA,NA,1
2022,2,FT,84229,FullRemote,M,EU,EU,1
2022,2,FT,73701,FullRemote,M,EU,EU,1
2022,2,FT,99084,FullRemote,M,EU,EU,1
2022,2,FT,86698,FullRemote,M,EU,EU,1
2022,2,FT,84229,FullRemote,M,EU,EU,1
2022,2,FT,73701,FullRemote,M,EU,EU,1
2022,3,FT,191475,FullRemote,M,NA,NA,1
2022,3,FT,141525,FullRemote,M,NA,NA,1
2022,3,FT,191475,FullRemote,M,NA,NA,1
2022,3,FT,141525,FullRemote,M,NA,NA,1
2022,3,FT,103265,FullRemote,M,EU,EU,1
2022,3,FT,80510,FullRemote,M,EU,EU,1
2022,3,FT,191475,FullRemote,M,NA,NA,1
2022,3,FT,141525,FullRemote,M,NA,NA,1
2022,3,FT,105224,FullRemote,M,EU,EU,1
2022,3,FT,82762,FullRemote,M,EU,EU,1
2022,3,FT,191475,FullRemote,M,NA,NA,1
2022,3,FT,141525,FullRemote,M,NA,NA,1
2022,3,FT,191475,NoRemote,M,NA,NA,1
2022,3,FT,141525,NoRemote,M,NA,NA,1
2022,3,FT,115000,NoRemote,L,NA,NA,1
2022,1,FT,31586,HalfRemote,M,EU,EU,1
2022,3,FT,81000,FullRemote,M,NA,NA,1
2022,3,FT,66000,FullRemote,M,NA,NA,1
2022,1,FT,46000,FullRemote,L,NA,NA,1
2022,1,FT,80000,FullRemote,L,NA,NA,1
2022,4,FT,200000,FullRemote,S,NA,NA,1
2022,4,FT,180000,FullRemote,S,NA,NA,1
2022,4,FT,200000,FullRemote,S,NA,NA,1
2022,3,FT,204100,NoRemote,M,NA,NA,1
2022,3,FT,136100,NoRemote,M,NA,NA,1
2022,3,FT,250000,NoRemote,M,NA,NA,1
2022,3,FT,63000,NoRemote,M,NA,NA,1
2022,2,FT,118900,NoRemote,M,EU,EU,1
2022,2,FT,111469,NoRemote,M,EU,EU,1
2021,1,PT,19073,HalfRemote,L,EU,EU,1
2022,3,FT,191475,FullRemote,M,NA,NA,1
2022,3,FT,141525,FullRemote,M,NA,NA,1
2022,3,FT,191475,FullRemote,M,NA,NA,1
2022,3,FT,141525,FullRemote,M,NA,NA,1
2022,3,FT,191475,FullRemote,M,NA,NA,1
2022,3,FT,141525,FullRemote,M,NA,NA,1
2022,3,FT,95000,FullRemote,M,NA,NA,1
2022,3,FT,70000,FullRemote,M,NA,NA,1
2022,2,FT,75000,FullRemote,M,SA,NA,0
2022,2,CT,7500,HalfRemote,M,SA,SA,1
2022,2,FT,113000,NoRemote,L,NA,NA,1
2022,3,FT,170000,FullRemote,M,NA,NA,1
2022,3,FT,130000,FullRemote,M,NA,NA,1
2022,2,FT,113000,FullRemote,L,NA,NA,1
2022,2,FT,140000,FullRemote,M,NA,NA,1
2021,3,FT,50000,FullRemote,S,AS,AS,1
2022,2,FT,53767,FullRemote,M,OC,OC,1
2022,3,FT,175000,NoRemote,M,NA,NA,1
2022,3,FT,140000,NoRemote,M,NA,NA,1
